number,semester,name,instructors,schedule,level,id
African & African Amer Studies 390 Section: 039,2017 Fall,b'Individual Research',b'Brandon Terry',,Graduate,115732
African & African Amer Studies 391,2018 Spring,b'Directed Writing',b'',,Graduate,119827
African & African Amer Studies 391,2017 Fall,b'Directed Writing',b'Lawrence Bobo',,Graduate,119827
African & African Amer Studies 391 Section: 002,2018 Spring,,b'Emmanuel Akyeampong',,Graduate,
African & African Amer Studies 391,2017 Fall,,b'Emmanuel Akyeampong',,Graduate,119827
African & African Amer Studies 391 Section: 003,2018 Spring,b'Directed Writing',b'Ali S. Asani',,Graduate,119827
African & African Amer Studies 391 Section: 003,2017 Fall,b'Directed Writing',b'Ali S. Asani',,Graduate,119827
African & African Amer Studies 391 Section: 004,2018 Spring,b'Directed Writing',b'Robert Bates',,Graduate,119827
African & African Amer Studies 391 Section: 004,2017 Fall,b'Directed Writing',b'Robert Bates',,Graduate,119827
African & African Amer Studies 391,2018 Spring,,b'Aisha Beliso-De Jesus',,Graduate,119827
African & African Amer Studies 391 Section: 005,2017 Fall,b'Directed Writing',b'Aisha Beliso-De Jesus',,Graduate,119827
African & African Amer Studies 391 Section: 006,2018 Spring,b'Directed Writing',b'Robin Bernstein',,Graduate,119827
African & African Amer Studies 391 Section: 006,2017 Fall,b'Directed Writing',b'Robin Bernstein',,Graduate,119827
African & African Amer Studies 391 Section: 007,2018 Spring,b'Directed Writing',b'Suzanne Blier',,Graduate,119827
African & African Amer Studies 391 Section: 007,2017 Fall,b'Directed Writing',b'Suzanne Blier',,Graduate,119827
African & African Amer Studies 391,2018 Spring,b'Directed Writing',b'Vincent Brown',,Graduate,119827
African & African Amer Studies 391,2017 Fall,b'Directed Writing',b'Vincent Brown',,Graduate,119827
African & African Amer Studies 391 Section: 009,2018 Spring,,b'Glenda Carpio',,Graduate,
African & African Amer Studies 391,2017 Fall,,b'Glenda Carpio',,Graduate,119827
African & African Amer Studies 391 Section: 010,2018 Spring,b'Directed Writing',b'Jean Comaroff',,Graduate,119827
African & African Amer Studies 391 Section: 010,2017 Fall,b'Directed Writing',b'Jean Comaroff',,Graduate,119827
African & African Amer Studies 391 Section: 011,2018 Spring,b'Directed Writing',b'John Comaroff',,Graduate,119827
African & African Amer Studies 391 Section: 011,2017 Fall,b'Directed Writing',b'John Comaroff',,Graduate,119827
African & African Amer Studies 391,2018 Spring,,b'Alejandro de la Fuente',,Graduate,119827
African & African Amer Studies 391 Section: 012,2017 Fall,b'Directed Writing',b'Alejandro de la Fuente',,Graduate,119827
African & African Amer Studies 391 Section: 013,2018 Spring,b'Directed Writing',b'Caroline Elkins',,Graduate,119827
African & African Amer Studies 391 Section: 013,2017 Fall,b'Directed Writing',b'Caroline Elkins',,Graduate,119827
African & African Amer Studies 391 Section: 014,2018 Spring,b'Directed Writing',b'Marla Frederick',,Graduate,119827
African & African Amer Studies 391 Section: 014,2017 Fall,b'Directed Writing',b'Marla Frederick',,Graduate,119827
